storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000259N20273,GORDON,2000,20000918,0300,29.3,-83.2,55,
2000259N20273,GORDON,2000,20000918,0600,29.8,-83,40,
2000259N20273,GORDON,2000,20000918,0900,30.3728,-82.6874,35,
2000259N20273,GORDON,2000,20000918,1200,31,-82.3,30,
2000259N20273,GORDON,2000,20000918,1500,31.6495,-81.944,27,
2000259N20273,GORDON,2000,20000918,1800,32.3,-81.5,25,
2000259N20273,GORDON,2000,20000918,2100,32.8853,-80.8794,25,
2000259N20273,GORDON,2000,20000919,0000,33.5,-80.2,25,
2000259N20273,GORDON,2000,20000919,0300,34.19,-79.5619,22,
2000259N20273,GORDON,2000,20000919,0600,35,-79,20,
2000259N20273,GORDON,2000,20000919,0900,35.9979,-78.6707,20,
2000259N20273,GORDON,2000,20000919,1200,37,-78.2,20,
2000259N20273,GORDON,2000,20000919,1500,37.7892,-77.1904,22,
2000259N20273,GORDON,2000,20000919,1800,38.5,-76,25,
2000259N20273,GORDON,2000,20000919,2100,39.2487,-74.9824,25,
2000259N20273,GORDON,2000,20000920,0000,40,-74,25,
2000259N20273,GORDON,2000,20000920,0300,40.823,-73.038,25,
2000259N20273,GORDON,2000,20000920,0600,41.5,-72,25,
2000259N20273,GORDON,2000,20000920,0900,41.8252,-70.7684,27,
2000259N20273,GORDON,2000,20000920,1200,42,-69.5,30,
2000259N20273,GORDON,2000,20000920,1500,42.2486,-68.3266,30,
2000259N20273,GORDON,2000,20000920,1800,42.5,-67.2,30,
2000259N20273,GORDON,2000,20000920,2100,42.7491,-66.0768,30,
2000259N20273,GORDON,2000,20000921,0000,43,-65,30,
2000259N20273,GORDON,2000,20000921,0300,43.2515,-63.984,30,
2000259N20273,GORDON,2000,20000921,0600,43.5,-63,30,
2000260N15308,HELENE,2000,20000915,1200,14.9,-52.2,25,
2000260N15308,HELENE,2000,20000915,1500,15.1077,-52.6248,25,
2000260N15308,HELENE,2000,20000915,1800,15.3,-53,25,
